00001 001     0 Central Nervous System and Cranial Nerves, Bypass            Central Nervous System and Cranial Nerves, Bypass
00182 005N3ZZ 1 Destruction of Acoustic Nerve, Percutaneous Approach         Destruction of Acoustic Nerve, Percutaneous Approach
00183 005N4ZZ 1 Destruction of Acoustic Nerve, Perc Endo Approach            Destruction of Acoustic Nerve, Percutaneous Endoscopic Approach
00184 005P0ZZ 1 Destruction of Glossopharyngeal Nerve, Open Approach         Destruction of Glossopharyngeal Nerve, Open Approach
00185 005P3ZZ 1 Destruction of Glossopharyngeal Nerve, Percutaneous Approach Destruction of Glossopharyngeal Nerve, Percutaneous Approach
00186 005P4ZZ 1 Destruction of Glossopharyngeal Nerve, Perc Endo Approach    Destruction of Glossopharyngeal Nerve, Percutaneous Endoscopic Approach
00187 005Q0ZZ 1 Destruction of Vagus Nerve, Open Approach                    Destruction of Vagus Nerve, Open Approach
00188 005Q3ZZ 1 Destruction of Vagus Nerve, Percutaneous Approach            Destruction of Vagus Nerve, Percutaneous Approach
00189 005Q4ZZ 1 Destruction of Vagus Nerve, Percutaneous Endoscopic Approach Destruction of Vagus Nerve, Percutaneous Endoscopic Approach
00190 005R0ZZ 1 Destruction of Accessory Nerve, Open Approach                Destruction of Accessory Nerve, Open Approach
00191 005R3ZZ 1 Destruction of Accessory Nerve, Percutaneous Approach        Destruction of Accessory Nerve, Percutaneous Approach
00192 005R4ZZ 1 Destruction of Accessory Nerve, Perc Endo Approach           Destruction of Accessory Nerve, Percutaneous Endoscopic Approach
00193 005S0ZZ 1 Destruction of Hypoglossal Nerve, Open Approach              Destruction of Hypoglossal Nerve, Open Approach
00194 005S3ZZ 1 Destruction of Hypoglossal Nerve, Percutaneous Approach      Destruction of Hypoglossal Nerve, Percutaneous Approach
00195 005S4ZZ 1 Destruction of Hypoglossal Nerve, Perc Endo Approach         Destruction of Hypoglossal Nerve, Percutaneous Endoscopic Approach
00196 005T0ZZ 1 Destruction of Spinal Meninges, Open Approach                Destruction of Spinal Meninges, Open Approach
00197 005T3ZZ 1 Destruction of Spinal Meninges, Percutaneous Approach        Destruction of Spinal Meninges, Percutaneous Approach
00198 005T4ZZ 1 Destruction of Spinal Meninges, Perc Endo Approach           Destruction of Spinal Meninges, Percutaneous Endoscopic Approach
00199 005W0ZZ 1 Destruction of Cervical Spinal Cord, Open Approach           Destruction of Cervical Spinal Cord, Open Approach
00200 005W3ZZ 1 Destruction of Cervical Spinal Cord, Percutaneous Approach   Destruction of Cervical Spinal Cord, Percutaneous Approach
00201 005W4ZZ 1 Destruction of Cervical Spinal Cord, Perc Endo Approach      Destruction of Cervical Spinal Cord, Percutaneous Endoscopic Approach
00202 005X0ZZ 1 Destruction of Thoracic Spinal Cord, Open Approach           Destruction of Thoracic Spinal Cord, Open Approach
00203 005X3ZZ 1 Destruction of Thoracic Spinal Cord, Percutaneous Approach   Destruction of Thoracic Spinal Cord, Percutaneous Approach
00204 005X4ZZ 1 Destruction of Thoracic Spinal Cord, Perc Endo Approach      Destruction of Thoracic Spinal Cord, Percutaneous Endoscopic Approach
00205 005Y0ZZ 1 Destruction of Lumbar Spinal Cord, Open Approach             Destruction of Lumbar Spinal Cord, Open Approach
00206 005Y3ZZ 1 Destruction of Lumbar Spinal Cord, Percutaneous Approach     Destruction of Lumbar Spinal Cord, Percutaneous Approach
00207 005Y4ZZ 1 Destruction of Lumbar Spinal Cord, Perc Endo Approach        Destruction of Lumbar Spinal Cord, Percutaneous Endoscopic Approach
00208 007     0 Central Nervous System and Cranial Nerves, Dilation          Central Nervous System and Cranial Nerves, Dilation
00209 00760ZZ 1 Dilation of Cerebral Ventricle, Open Approach                Dilation of Cerebral Ventricle, Open Approach
00210 00763ZZ 1 Dilation of Cerebral Ventricle, Percutaneous Approach        Dilation of Cerebral Ventricle, Percutaneous Approach
00211 00764ZZ 1 Dilation of Cerebral Ventricle, Perc Endo Approach           Dilation of Cerebral Ventricle, Percutaneous Endoscopic Approach
00212 008     0 Central Nervous System and Cranial Nerves, Division          Central Nervous System and Cranial Nerves, Division
00213 00800ZZ 1 Division of Brain, Open Approach                             Division of Brain, Open Approach
00214 00803ZZ 1 Division of Brain, Percutaneous Approach                     Division of Brain, Percutaneous Approach
00215 00804ZZ 1 Division of Brain, Percutaneous Endoscopic Approach          Division of Brain, Percutaneous Endoscopic Approach
00216 00870ZZ 1 Division of Cerebral Hemisphere, Open Approach               Division of Cerebral Hemisphere, Open Approach
00217 00873ZZ 1 Division of Cerebral Hemisphere, Percutaneous Approach       Division of Cerebral Hemisphere, Percutaneous Approach
00218 00874ZZ 1 Division of Cerebral Hemisphere, Perc Endo Approach          Division of Cerebral Hemisphere, Percutaneous Endoscopic Approach
00219 00880ZZ 1 Division of Basal Ganglia, Open Approach                     Division of Basal Ganglia, Open Approach
00220 00883ZZ 1 Division of Basal Ganglia, Percutaneous Approach             Division of Basal Ganglia, Percutaneous Approach
00221 00884ZZ 1 Division of Basal Ganglia, Percutaneous Endoscopic Approach  Division of Basal Ganglia, Percutaneous Endoscopic Approach
00222 008F0ZZ 1 Division of Olfactory Nerve, Open Approach                   Division of Olfactory Nerve, Open Approach
00223 008F3ZZ 1 Division of Olfactory Nerve, Percutaneous Approach           Division of Olfactory Nerve, Percutaneous Approach
00224 008F4ZZ 1 Division of Olfactory Nerve, Perc Endo Approach              Division of Olfactory Nerve, Percutaneous Endoscopic Approach
00225 008G0ZZ 1 Division of Optic Nerve, Open Approach                       Division of Optic Nerve, Open Approach
00226 008G3ZZ 1 Division of Optic Nerve, Percutaneous Approach               Division of Optic Nerve, Percutaneous Approach
00227 008G4ZZ 1 Division of Optic Nerve, Percutaneous Endoscopic Approach    Division of Optic Nerve, Percutaneous Endoscopic Approach
00228 008H0ZZ 1 Division of Oculomotor Nerve, Open Approach                  Division of Oculomotor Nerve, Open Approach
00229 008H3ZZ 1 Division of Oculomotor Nerve, Percutaneous Approach          Division of Oculomotor Nerve, Percutaneous Approach
00230 008H4ZZ 1 Division of Oculomotor Nerve, Perc Endo Approach             Division of Oculomotor Nerve, Percutaneous Endoscopic Approach
00231 008J0ZZ 1 Division of Trochlear Nerve, Open Approach                   Division of Trochlear Nerve, Open Approach
00232 008J3ZZ 1 Division of Trochlear Nerve, Percutaneous Approach           Division of Trochlear Nerve, Percutaneous Approach
00233 008J4ZZ 1 Division of Trochlear Nerve, Perc Endo Approach              Division of Trochlear Nerve, Percutaneous Endoscopic Approach
00234 008K0ZZ 1 Division of Trigeminal Nerve, Open Approach                  Division of Trigeminal Nerve, Open Approach
00235 008K3ZZ 1 Division of Trigeminal Nerve, Percutaneous Approach          Division of Trigeminal Nerve, Percutaneous Approach
00236 008K4ZZ 1 Division of Trigeminal Nerve, Perc Endo Approach             Division of Trigeminal Nerve, Percutaneous Endoscopic Approach
00237 008L0ZZ 1 Division of Abducens Nerve, Open Approach                    Division of Abducens Nerve, Open Approach
00238 008L3ZZ 1 Division of Abducens Nerve, Percutaneous Approach            Division of Abducens Nerve, Percutaneous Approach
00239 008L4ZZ 1 Division of Abducens Nerve, Percutaneous Endoscopic Approach Division of Abducens Nerve, Percutaneous Endoscopic Approach
00240 008M0ZZ 1 Division of Facial Nerve, Open Approach                      Division of Facial Nerve, Open Approach
00241 008M3ZZ 1 Division of Facial Nerve, Percutaneous Approach              Division of Facial Nerve, Percutaneous Approach
00242 008M4ZZ 1 Division of Facial Nerve, Percutaneous Endoscopic Approach   Division of Facial Nerve, Percutaneous Endoscopic Approach
00243 008N0ZZ 1 Division of Acoustic Nerve, Open Approach                    Division of Acoustic Nerve, Open Approach
00244 008N3ZZ 1 Division of Acoustic Nerve, Percutaneous Approach            Division of Acoustic Nerve, Percutaneous Approach
00245 008N4ZZ 1 Division of Acoustic Nerve, Percutaneous Endoscopic Approach Division of Acoustic Nerve, Percutaneous Endoscopic Approach
00246 008P0ZZ 1 Division of Glossopharyngeal Nerve, Open Approach            Division of Glossopharyngeal Nerve, Open Approach
00247 008P3ZZ 1 Division of Glossopharyngeal Nerve, Percutaneous Approach    Division of Glossopharyngeal Nerve, Percutaneous Approach
00248 008P4ZZ 1 Division of Glossopharyngeal Nerve, Perc Endo Approach       Division of Glossopharyngeal Nerve, Percutaneous Endoscopic Approach
00249 008Q0ZZ 1 Division of Vagus Nerve, Open Approach                       Division of Vagus Nerve, Open Approach
00250 008Q3ZZ 1 Division of Vagus Nerve, Percutaneous Approach               Division of Vagus Nerve, Percutaneous Approach
00251 008Q4ZZ 1 Division of Vagus Nerve, Percutaneous Endoscopic Approach    Division of Vagus Nerve, Percutaneous Endoscopic Approach
00252 008R0ZZ 1 Division of Accessory Nerve, Open Approach                   Division of Accessory Nerve, Open Approach
00253 008R3ZZ 1 Division of Accessory Nerve, Percutaneous Approach           Division of Accessory Nerve, Percutaneous Approach
00254 008R4ZZ 1 Division of Accessory Nerve, Perc Endo Approach              Division of Accessory Nerve, Percutaneous Endoscopic Approach
00255 008S0ZZ 1 Division of Hypoglossal Nerve, Open Approach                 Division of Hypoglossal Nerve, Open Approach
00256 008S3ZZ 1 Division of Hypoglossal Nerve, Percutaneous Approach         Division of Hypoglossal Nerve, Percutaneous Approach
00257 008S4ZZ 1 Division of Hypoglossal Nerve, Perc Endo Approach            Division of Hypoglossal Nerve, Percutaneous Endoscopic Approach
00258 008W0ZZ 1 Division of Cervical Spinal Cord, Open Approach              Division of Cervical Spinal Cord, Open Approach
00259 008W3ZZ 1 Division of Cervical Spinal Cord, Percutaneous Approach      Division of Cervical Spinal Cord, Percutaneous Approach
00260 008W4ZZ 1 Division of Cervical Spinal Cord, Perc Endo Approach         Division of Cervical Spinal Cord, Percutaneous Endoscopic Approach
00261 008X0ZZ 1 Division of Thoracic Spinal Cord, Open Approach              Division of Thoracic Spinal Cord, Open Approach
00262 008X3ZZ 1 Division of Thoracic Spinal Cord, Percutaneous Approach      Division of Thoracic Spinal Cord, Percutaneous Approach
00263 008X4ZZ 1 Division of Thoracic Spinal Cord, Perc Endo Approach         Division of Thoracic Spinal Cord, Percutaneous Endoscopic Approach
00264 008Y0ZZ 1 Division of Lumbar Spinal Cord, Open Approach                Division of Lumbar Spinal Cord, Open Approach
00265 008Y3ZZ 1 Division of Lumbar Spinal Cord, Percutaneous Approach        Division of Lumbar Spinal Cord, Percutaneous Approach
00266 008Y4ZZ 1 Division of Lumbar Spinal Cord, Perc Endo Approach           Division of Lumbar Spinal Cord, Percutaneous Endoscopic Approach
00267 009     0 Central Nervous System and Cranial Nerves, Drainage          Central Nervous System and Cranial Nerves, Drainage
00268 009000Z 1 Drainage of Brain with Drainage Device, Open Approach        Drainage of Brain with Drainage Device, Open Approach
00269 00900ZX 1 Drainage of Brain, Open Approach, Diagnostic                 Drainage of Brain, Open Approach, Diagnostic
00270 00900ZZ 1 Drainage of Brain, Open Approach                             Drainage of Brain, Open Approach
00271 009030Z 1 Drainage of Brain with Drainage Device, Perc Approach        Drainage of Brain with Drainage Device, Percutaneous Approach
00272 00903ZX 1 Drainage of Brain, Percutaneous Approach, Diagnostic         Drainage of Brain, Percutaneous Approach, Diagnostic
00273 00903ZZ 1 Drainage of Brain, Percutaneous Approach                     Drainage of Brain, Percutaneous Approach
00274 009040Z 1 Drainage of Brain with Drainage Device, Perc Endo Approach   Drainage of Brain with Drainage Device, Percutaneous Endoscopic Approach
00275 00904ZX 1 Drainage of Brain, Percutaneous Endoscopic Approach, Diagn   Drainage of Brain, Percutaneous Endoscopic Approach, Diagnostic
00276 00904ZZ 1 Drainage of Brain, Percutaneous Endoscopic Approach          Drainage of Brain, Percutaneous Endoscopic Approach
00277 009100Z 1 Drainage of Cerebral Meninges with Drain Dev, Open Approach  Drainage of Cerebral Meninges with Drainage Device, Open Approach
00278 00910ZX 1 Drainage of Cerebral Meninges, Open Approach, Diagnostic     Drainage of Cerebral Meninges, Open Approach, Diagnostic
00279 00910ZZ 1 Drainage of Cerebral Meninges, Open Approach                 Drainage of Cerebral Meninges, Open Approach
00280 009130Z 1 Drainage of Cerebral Meninges with Drain Dev, Perc Approach  Drainage of Cerebral Meninges with Drainage Device, Percutaneous Approach
00281 00913ZX 1 Drainage of Cerebral Meninges, Percutaneous Approach, Diagn  Drainage of Cerebral Meninges, Percutaneous Approach, Diagnostic
00282 00913ZZ 1 Drainage of Cerebral Meninges, Percutaneous Approach         Drainage of Cerebral Meninges, Percutaneous Approach
00283 009140Z 1 Drain of Cereb Meninges with Drain Dev, Perc Endo Approach   Drainage of Cerebral Meninges with Drainage Device, Percutaneous Endoscopic Approach
00284 00914ZX 1 Drainage of Cerebral Meninges, Perc Endo Approach, Diagn     Drainage of Cerebral Meninges, Percutaneous Endoscopic Approach, Diagnostic
00285 00914ZZ 1 Drainage of Cerebral Meninges, Perc Endo Approach            Drainage of Cerebral Meninges, Percutaneous Endoscopic Approach
00286 009200Z 1 Drainage of Dura Mater with Drainage Device, Open Approach   Drainage of Dura Mater with Drainage Device, Open Approach
00287 00920ZX 1 Drainage of Dura Mater, Open Approach, Diagnostic            Drainage of Dura Mater, Open Approach, Diagnostic
00288 00920ZZ 1 Drainage of Dura Mater, Open Approach                        Drainage of Dura Mater, Open Approach
00289 009230Z 1 Drainage of Dura Mater with Drainage Device, Perc Approach   Drainage of Dura Mater with Drainage Device, Percutaneous Approach
00290 00923ZX 1 Drainage of Dura Mater, Percutaneous Approach, Diagnostic    Drainage of Dura Mater, Percutaneous Approach, Diagnostic
00291 00923ZZ 1 Drainage of Dura Mater, Percutaneous Approach                Drainage of Dura Mater, Percutaneous Approach
00292 009240Z 1 Drainage of Dura Mater with Drain Dev, Perc Endo Approach    Drainage of Dura Mater with Drainage Device, Percutaneous Endoscopic Approach
00293 00924ZX 1 Drainage of Dura Mater, Perc Endo Approach, Diagn            Drainage of Dura Mater, Percutaneous Endoscopic Approach, Diagnostic
00294 00924ZZ 1 Drainage of Dura Mater, Percutaneous Endoscopic Approach     Drainage of Dura Mater, Percutaneous Endoscopic Approach
00295 009300Z 1 Drainage of Cran Epidur Spc with Drain Dev, Open Approach    Drainage of Intracranial Epidural Space with Drainage Device, Open Approach
00296 00930ZX 1 Drainage of Cran Epidur Spc, Open Approach, Diagn            Drainage of Intracranial Epidural Space, Open Approach, Diagnostic
00297 00930ZZ 1 Drainage of Intracranial Epidural Space, Open Approach       Drainage of Intracranial Epidural Space, Open Approach
00298 009330Z 1 Drainage of Cran Epidur Spc with Drain Dev, Perc Approach    Drainage of Intracranial Epidural Space with Drainage Device, Percutaneous Approach
00299 00933ZX 1 Drainage of Cran Epidur Spc, Perc Approach, Diagn            Drainage of Intracranial Epidural Space, Percutaneous Approach, Diagnostic
00300 00933ZZ 1 Drainage of Intracranial Epidural Space, Perc Approach       Drainage of Intracranial Epidural Space, Percutaneous Approach
00301 009340Z 1 Drain of Cran Epidur Spc with Drain Dev, Perc Endo Approach  Drainage of Intracranial Epidural Space with Drainage Device, Percutaneous Endoscopic Approach
00302 00934ZX 1 Drainage of Cran Epidur Spc, Perc Endo Approach, Diagn       Drainage of Intracranial Epidural Space, Percutaneous Endoscopic Approach, Diagnostic
00303 00934ZZ 1 Drainage of Intracranial Epidural Space, Perc Endo Approach  Drainage of Intracranial Epidural Space, Percutaneous Endoscopic Approach
